step,train_cross_entropy,test_cross_entropy
50,2.8192813396453857,7.058824062347412
100,0.1707446426153183,15.368352890014648
150,0.015969211235642433,21.229026794433594
200,0.009306780993938446,22.433496475219727
250,0.006800854112952948,23.097305297851562
300,0.00539504736661911,23.579345703125
350,0.0044709788635373116,23.979297637939453
400,0.0038048122078180313,24.331035614013672
450,0.003295482136309147,24.657894134521484
500,0.002887388924136758,24.969039916992188
550,0.002550173318013549,25.26982307434082
600,0.0022663907147943974,25.562759399414062
650,0.0020235206466168165,25.853214263916016
700,0.0018151868134737015,26.13010025024414
750,0.0016353254904970527,26.399282455444336
800,0.0014788478147238493,26.659011840820312
850,0.0013428502716124058,26.907716751098633
900,0.0012228824198246002,27.14934730529785
950,0.001116511644795537,27.381258010864258
1000,0.0010220140684396029,27.601524353027344
1050,0.000937253178562969,27.81551742553711
1100,0.0008611846133135259,28.019256591796875
1150,0.0007929118582978845,28.210390090942383
1200,0.0007310299552045763,28.397905349731445
1250,0.0006747502484358847,28.581310272216797
1300,0.0006233782623894513,28.75892448425293
1350,0.0005765998503193259,28.93071174621582
1400,4.371933937072754,4.9960432052612305
1450,3.9682343006134033,5.715151786804199
1500,3.101051092147827,6.862880706787109
1550,1.2917509078979492,10.194058418273926
1600,0.12638545036315918,14.98756217956543
1650,0.03747163712978363,17.18988037109375
1700,0.02433655597269535,17.819761276245117
1750,0.019315287470817566,18.066104888916016
1800,0.016653137281537056,18.163833618164062
1850,0.01495847012847662,18.20048713684082
1900,0.013743838295340538,18.214311599731445
1950,0.012743594124913216,18.242040634155273
2000,0.011875217780470848,18.28204345703125
2050,0.011084825731813908,18.341554641723633
2100,0.01035977527499199,18.421527862548828
2150,0.0096881790086627,18.52193832397461
2200,0.00904920231550932,18.645578384399414
2250,0.008443905040621758,18.78711700439453
2300,0.007881361059844494,18.94108772277832
2350,0.007357198745012283,19.117515563964844
2400,0.006839528679847717,19.310789108276367
2450,0.006349508184939623,19.538990020751953
2500,0.005888619460165501,19.767986297607422
2550,0.005451293662190437,20.026578903198242
2600,0.005037884693592787,20.302078247070312
2650,0.004656259436160326,20.58188819885254
2700,0.00429152324795723,20.893360137939453
2750,0.003946382086724043,21.214962005615234
2800,0.0036244322545826435,21.542306900024414
2850,0.0033108333591371775,21.901016235351562
2900,0.0030191107653081417,22.248937606811523
2950,0.0027613232377916574,22.59395408630371
3000,0.002526685129851103,22.924854278564453
3050,0.0023118651006370783,23.260028839111328
3100,0.002117280615493655,23.584083557128906
3150,0.0019458227325230837,23.89736557006836
3200,0.0017826652619987726,24.2099609375
3250,0.0016406517243012786,24.502033233642578
3300,0.001510685426183045,24.789552688598633
3350,0.0013917934847995639,25.055240631103516
3400,0.0012839995324611664,25.315149307250977
3450,4.638247966766357,4.813776969909668
3500,4.434091091156006,4.735742092132568
3550,4.330185413360596,4.882780075073242
3600,4.105118751525879,5.235347270965576
3650,3.8435800075531006,5.945521354675293
3700,3.2189180850982666,6.649942874908447
3750,3.636478900909424,5.409445762634277
3800,2.2548627853393555,8.768773078918457
3850,1.145997405052185,11.371341705322266
3900,0.46600550413131714,12.969247817993164
3950,0.15155363082885742,15.211688995361328
4000,0.06786210834980011,16.357040405273438
4050,0.04216515272855759,16.77484130859375
4100,0.03153408318758011,16.86767578125
4150,0.02594694308936596,16.782575607299805
4200,0.02259562350809574,16.62059211730957
4250,0.02031492069363594,16.41973114013672
4300,0.01857808604836464,16.206836700439453
4350,0.017187008634209633,15.993034362792969
4400,0.015988387167453766,15.772987365722656
4450,0.014918999746441841,15.557087898254395
4500,0.013951009139418602,15.36520767211914
4550,0.013053958304226398,15.19001293182373
4600,0.01221981830894947,15.014345169067383
4650,0.011428858153522015,14.85168170928955
4700,0.010690147057175636,14.709134101867676
4750,0.010006511583924294,14.556659698486328
4800,0.009366236627101898,14.441899299621582
4850,0.008733951486647129,14.319084167480469
4900,0.008125877939164639,14.211179733276367
4950,0.007542926352471113,14.128960609436035
5000,0.00699275080114603,14.057482719421387
5050,0.006467849016189575,13.972997665405273
5100,0.005983977112919092,13.917070388793945
5150,0.005544485058635473,13.867414474487305
5200,0.005101383663713932,13.842037200927734
5250,0.004703231621533632,13.811966896057129
5300,0.004349526483565569,13.767435073852539
5350,0.003997236955910921,13.756296157836914
